"id_componente","tipo_componente","codigo","nivel","nome","unidade_responsavel","ch_teorico","ch_pratico","ch_estagio","ch_total","ch_dedicada_docente","ch_ead","cr_max_ead","permite_horario_flexivel","qtd_unidades","procedimentos_avaliacao","equivalencia","pre_requisito","co_requisito","ementa","bibliografia","objetivos","conteudo","competencias_habilidades","referencias","ano_programa","periodo_programa","modalidade","curso_componente"
178094,"DISCIPLINA","IQD0125","G","QUIMICA GERAL TEORICA","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0058) OU (IQD0058 E IQD0061) OU (IQD0153) OU (IQD0245) OU (FUP0313 E FUP0329 E FUP0362))",NULL,NULL,"Abordagem conceitual dos princípios fundamentais da Química e suas aplicações, usando exemplo de compostos orgânicos e inorgânicos. Ênfase à interface da Química com as diversas áreas do conhecimento. Introdução ao trabalho em laboratório de química. Observação e interpretação de fenômenos químicos através da realização de experimentos representativos que correlacionem o aspecto conceitual à vida cotidiana de uma maneira estimulante.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178095,"DISCIPLINA","IQD0126","G","QUIMICA GERAL EXPERIMENTAL","INSTITUTO DE QUÍMICA",0,30,0,30,0,0,20,False,1,NULL,"((IQD0061) OU (IQD0253))",NULL,NULL,"      CARACTERIZACAO DA NATUREZA E DO PAPEL DAS INVESTIGACOES EXPERIMEN-TAIS EM QUIMICA. ESTUDO DE  MEDIDAS E DE  ALGARISMOS SIGNIFICATIVOS. DE-SENVOLVIMENTO DE HABILIDADES DE  MANUSEIO DE APARELHOS  VOLUMETRICOS, DESISTEMAS DE FILTRACAO, DE SISTEMAS DE DESTILACAO E DE PROCESSO QUIMICOS.DESENVOLVIMENTO DO  ESPIRITO DE  OBSERVACAO, ANALISE E  INTERPRETACAO DEFENOMENOS QUIMICOS. ESTUDO EXPERIMENTAL DE PROCESSOS QUIMICOS  ELEMENTA-RES.                                                                    ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178096,"DISCIPLINA","IQD0127","G","FUNDAMENTOS DE QUIMICA ANALITICA","INSTITUTO DE QUÍMICA",30,30,0,60,0,0,20,False,1,NULL,NULL,"((IQD0132))",NULL,"      VISAO GERAL SOBRE A ORIGEM, IMPORTANCIA E CAMPO DE ESTUDO ATUAL DAQUIMICA ANALITICA. ESTUDO DO PROCESSO DE DISSOLUCAO, DOS PRINCIPIOS  RE-LATIVOS AO ESTADO DE EQUILIBRIO, DOS  CONCEITOS DE  ACIDOS E  BASES E DAESCALA DE PH, DAS REACOES EM SOLUCAO AQUOSA E DE  CONCEITOS  RELATIVOS AELETROQUIMICA. REALIZACAO DE CALCULOS DE CONCENTRACAO DE SOLUCOES E  RE-LATIVOS A CONSTANTE DE EQUILIBRIO. REALIZACAO DE ESPERIMENTOS INTRODUTO-RIOS AO LABORATORIO DE QUIMICA ANALITICA.                               ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178099,"DISCIPLINA","IQD0130","G","ANALISE QUIMICA QUANTITATIVA","INSTITUTO DE QUÍMICA",30,60,0,90,0,0,20,False,1,NULL,"(IQD0128) OU (IQD0129)",NULL,NULL,"      VISAO GERAL SOBRE A AREA DE ATUACAO, ASPECTOS SOCIAIS, TECNOLOGI- COS E AMBIENTAIS DA QUIMICA ANALITICA QUANTITATIVA. REALIZACAO DE  CAL- CULOS DE TRATAMENTO DE DADOS EXPERIMENTAIS NA QUIMICA ANALITICA. ESTUDO DOS FUNDAMENTOS DOS METODOS GRAVIMETRICOS E VOLUMETRICOS. REALIZACAO DE EXPERIMENTOS DE ANALISE GRAVIMETRICA E VOLUMETRICA.                     ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178100,"DISCIPLINA","IQD0131","G","QUIMICA ORGANICA PARA CIENCIAS BIOLOGICAS","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0072) OU (IQD0133) OU (IQD0245))","((IQD0125 E IQD0126))",NULL,"> APRESENTAÇÃO  DOS  PRINCÍPIOS  FUNDAMENTAIS  DA  QUÍMICA  SOB  UM ENFOQUE MAIS QUALITATIVO DO QUE QUANTITATIVO.=> EXEMPLIFICAÇÃO   DAS   APLICAÇÕES   E   INTERFASES   DA   QUÍMICA  COMÁREAS DO CONHECIMENTO.=> ORIGEM, EVOLUÇÃO HISTÓRICA E IMPORTÂNCIA ATUAL DA QUÍMICA ORGÂ-NICA.=> ANÁLISE DAS CORRELAÇÕES ENTRE ESTRUTURAS E PROPRIEDADES  QUÍ-MICA E FÍSICAS DOS DIVERSOS COMPOSTOS ORGÂNICOS.=> VERIFICAÇÃO DE ALGUMAS PROPRIEDADES QUÍMICAS E FÍSICAS DE  SUBS-TÂNCIA ORG(ANICAS ATRAVÉS DE EXPERIMENTOS DEMONSTRATIVOS.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178101,"DISCIPLINA","IQD0132","G","INTRODUCAO AO ESTUDO DA QUIMICA","INSTITUTO DE QUÍMICA",45,15,0,60,0,0,20,False,1,NULL,"((IQD0051) OU (IQD0058 E IQD0061))",NULL,NULL,"      APRESENTACAO DA ESTRUTURA ADMINISTRATIVA DA UNB. REFLEXAO SOBRE O PAPEL DO ESTUDANTE UNIVERSITARIO E SOBRE A NATUREZA E OBJETIVOS DO CUR- SO DE LICENCIATURA EM QUIMICA. ESTUDO DE CALCULOS INTRODUTORIOS DE QUI- MICA E DE CONCEITOS RELATIVOS AS  SUBSTANCIAS E SEUS  CONSTITUINTES, AS TRANSFORMACOES QUIMICAS E A LINGUAGEM QUIMICA. DISCUSSAO SOBRE A  NATU- REZA DA ATIVIDADE  CIENTIFICA E DO  TRABALHO DO  QUIMICO. REALIZACAO DE EXPERIENCIAS INTRODUTORIAS AO CURSO DE QUIMICA.                         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178102,"DISCIPLINA","IQD0133","G","FUNDAMENTOS DE QUIMICA ORGANICA","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0072) OU (IQD0072 E IQD0131) OU (IQD0095) OU (IQD0095 E IQD0096) OU (IQD0131))","((IQD0092) OU (IQD0124))",NULL,"Apresentação dos princípios fundamentais da Química Orgânica e sua abrangência. Aspectos estruturais e eletrônicos das moléculas orgânicas, incluindo intermediários de reações. Correlação entre estrutura e propriedades químicas e físicas de substâncias orgânicas representativas. Exemplos de algumas reações químicas características dos grupos funcionais abordados e seus mecanismos gerais Fontes naturais de obtenção de compostos orgânicos. Importância da Química Orgânica para a Sociedade.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178106,"DISCIPLINA","IQD0137","G","REAÇÕES ORGÂNICAS E SEUS MECANISMOS 1","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0095 E IQD0096) OU (IQD0096) OU (IQD0136))","((IQD0133) OU (IQD0072) OU (IQD0131))",NULL,"Conceitos fundamentais associados ao estudo de reações orgânicas e seus mecanismos. Aspectos termodinâmicos e cinéticos das reações orgânicas.  Descrição dos mecanismos dos principais tipos de reações orgânicas: substituições, adições à ligações múltiplas, eliminações e rearranjos. Correlação dos aspectos estruturais das moléculas com a reatividade e orientação experimentalmente observados. Introdução à síntese orgânica: interconversões funcionais, grupos protetores, análise retrossintética, exemplos da literatura corrente de sínteses com várias etapas. Aplicações e interfaces da química orgânica com a biologia e a indústria química.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178108,"DISCIPLINA","IQD0139","G","QUÍMICA DOS ELEMENTOS DE TRANSIÇÃO","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0056 E IQD0093) OU (IQD0093) OU (IQD0138))","((IQD0092))",NULL,"Introdução à Química de Coordenação.O Conceito de Campo Ligante.Química descritiva sistemática dos Elementos de Transição. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178113,"DISCIPLINA","IQD0144","G","LABORATORIO DE QUIMICA INORGANICA PREPARATIVA","INSTITUTO DE QUÍMICA",0,60,0,60,0,0,20,False,1,NULL,"((IQD0093))","((IQD0139))",NULL,"   DESENVOLVIMENTO DE TECNICAS BASICAS EMPREGADAS NO PROCESSO DE SINTESEDE SUBSTANCIAS INORGANICAS. SINTESE NO LABORATORIO DE SUBSTANCIA INORGA-CAS. ORIENTACAO DE PESQUISAS RELATIVAS AO  PROCESSO DE SINTESE  DE SUBS-TANCIA INORGANICA DE SEU INTERESSE. IMPACTO  AMBIENTAL E  TRATAMENTO DOSRESIDUOS DAS PRATICAS DE ENSINO.                                        ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178114,"DISCIPLINA","IQD0145","G","TERMODINAMICA BASICA","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0101))","((MAT0023 E IFD0171) OU (MAT0023 E IFD0230) OU (MAT0023 E IFD0210) OU (MAT0023 E IFD0299))",NULL,"   VISAO GERAL SOBRE A  ORIGEM, EVOLUCAO E IMPORTANCIA  ATUAL DA FISICO-QUIMICA. INTRODUCAO AO ESTUDO DA TEORIA CINETICA DOS GASES E DAS LEIS DATERMODINAMICA.                                                          ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178117,"DISCIPLINA","IQD0148","G","METODOLOGIA DO ENSINO DE QUÍMICA","INSTITUTO DE QUÍMICA",30,30,0,60,0,0,20,False,1,NULL,"((IQD0043) OU (IQD0174) OU (IQD0146) OU (IQD0147))","((IQD0118 E IQD0133 E PED0058) OU (IQD0118 E IQD0133 E MTC0012) OU (IQD0118 E IQD0133 E PED0060) OU (IQD0118 E IQD0133 E TEF0011) OU (IQD0118 E IQD0133 E PAD0028))",NULL,"Visão geral sobre a origem, evolução, importância e campo atual de estudo da área de ensino de química. Abordagem e discussão de questões fundamentais relativas ao ensino básico de química: objetivos, conteúdos e processo ensino-aprendizagem. Análise da concepção de química e do trabalho científico em química e seus reflexos no ensino. Análise do papel da experimentação na construção de conceitos químicos. Análise crítica de currículos e programas de química no ensino básico. Prática de ensino.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178119,"DISCIPLINA","IQD0150","G","EQUILÍBRIO QUÍMICO E SOLUÇÕES","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0084 E IQD0103) OU (IQD0103) OU (IQD0149))","((IQD0101) OU (IQD0145 E IFD0238) OU (IFD0175 E IFD0240) OU (IFD0177))",NULL,"   ESTUDO DE EQUILIBRIOS QUIMICOS APLICADOS AS REACOES  QUIMICAS, AS SO-LUCOES IDEIAIS E NAO-IDEAIS E AOS SISTEMAS DE FASES  CONDENSADAS. ESTUDODAS SOLUCOES  DE  ELETROLITOS, ABORDANDO OS  FENOMENOS E A TERMODINAMICADOS PROCESSOS QUE OCORREM EM ELETRODOS IMERSOS NESTAS SOLUCOES.         ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178121,"DISCIPLINA","IQD0152","G","INTRODUÇÃO À QUÍMICA TECNOLÓGICA","INSTITUTO DE QUÍMICA",60,0,0,60,0,0,20,False,1,NULL,"((IQD0094) OU (IQD0151))","((IQD0133) OU (IQD0096 E IQD0139) OU (IQD0065))",NULL,"O objetivo fundamental da disciplina é a aquisição por parte do aluno dos conteúdos globais relacionado com a área da química industrial e os aspectos mais característicos das profissões de Químico Tecnológico/Engenheiro Químico. Realizar-se-á em cada unidade uma aproximação a matérias fundamentais: operações unitárias, transferência de massa, química industrial, engenharia da reação química, economia, etc. Pretende-se também que os alunos se iniciem no conceito de operação básica e os diferentes tipos existentes, variáveis de processo e que operem com destreza os sistemas de magnitudes e unidades, bem como a mudança destas. Finalmente, os alunos serão iniciados no cálculo de balanços de massa e energia globais de processos químicos.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
178122,"DISCIPLINA","IQD0153","G","QUÍMICA GERAL E INORGÂNICA","INSTITUTO DE QUÍMICA",90,0,0,90,0,0,20,False,1,NULL,"((IQD0058 E IQD0092) OU (IQD0092 E IQD0125) OU (FUP0247 E FUP0313))",NULL,NULL,"- RECAO QUIMICAS                                                        - TERMOQUIMICA                                                          - EQUILIRIO QUIMICO                                                     - ESTRUTURA ATOMICA                                                     - LIGACOES QUIMICAS                                                     - ACIDOS E BASES                                                        - OXIDACAO E REDUCAO                                                    - QUIMICA DESCRITIVA DOS PRINCIPAIS ELEMENTOS REPRESENTATIVOS E DE        TRANSICAO                                                             ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Presencial",NULL
